Timer,K_decision,Threshold
1.0,1.0,4.142857142857142
1.0,1.0,4.428571428571429
1.0,1.0,4.7142857142857135
1.0,1.0,5.0
1.0,1.0,5.285714285714286
1.0,1.0,5.571428571428571
1.0,1.0,5.857142857142857
1.0,1.0,6.142857142857142
1.0,1.0,6.428571428571428
1.0,1.0,6.7142857142857135
1.0,1.0,7.0
1.0,1.0,7.285714285714286
1.0,1.0,7.571428571428571
1.0,1.0,7.857142857142857
1.0,1.0,8.142857142857142
1.0,1.0,8.428571428571427
1.0,1.0,8.714285714285714
1.0,1.0,9.0
1.0,1.0,9.285714285714285
1.0,1.0,9.571428571428571
1.0,1.0,9.857142857142856
1.0,1.0,10.142857142857142
1.0,1.0,10.428571428571429
1.0,1.0,10.714285714285714
1.0,1.0,11.0
1.0,1.0,11.285714285714285
1.0,1.0,11.571428571428571
1.0,1.0,11.857142857142856
1.0,1.0,12.142857142857142
1.0,1.0,12.428571428571427
1.0,1.0,12.714285714285714
1.0,1.0,13.0
1.0,1.0,13.285714285714285
1.0,1.0,13.571428571428571
1.0,1.0,13.857142857142856
1.0,1.0,14.142857142857142
1.0,1.0,14.428571428571427
1.0,1.0,14.714285714285714
1.0,1.0,15.0
2.0,1.0,5.285714285714286
2.0,1.0,5.571428571428571
2.0,1.0,5.857142857142857
2.0,1.0,6.142857142857142
2.0,1.0,6.428571428571428
2.0,1.0,6.7142857142857135
2.0,1.0,7.0
2.0,1.0,7.285714285714286
2.0,1.0,7.571428571428571
2.0,1.0,7.857142857142857
2.0,1.0,8.142857142857142
2.0,1.0,8.428571428571427
2.0,1.0,8.714285714285714
2.0,1.0,9.0
2.0,1.0,9.285714285714285
2.0,1.0,9.571428571428571
2.0,1.0,9.857142857142856
2.0,1.0,10.142857142857142
2.0,1.0,10.428571428571429
2.0,1.0,10.714285714285714
2.0,1.0,11.0
2.0,1.0,11.285714285714285
2.0,1.0,11.571428571428571
2.0,1.0,11.857142857142856
2.0,1.0,12.142857142857142
2.0,1.0,12.428571428571427
2.0,1.0,12.714285714285714
2.0,1.0,13.0
2.0,1.0,13.285714285714285
2.0,1.0,13.571428571428571
2.0,1.0,13.857142857142856
2.0,1.0,14.142857142857142
2.0,1.0,14.428571428571427
2.0,1.0,14.714285714285714
2.0,1.0,15.0
3.0,1.0,5.857142857142857
3.0,1.0,6.142857142857142
3.0,1.0,6.428571428571428
3.0,1.0,6.7142857142857135
3.0,1.0,7.0
3.0,1.0,7.285714285714286
3.0,1.0,7.571428571428571
3.0,1.0,7.857142857142857
3.0,1.0,8.142857142857142
3.0,1.0,8.428571428571427
3.0,1.0,8.714285714285714
3.0,1.0,9.0
3.0,1.0,9.285714285714285
3.0,1.0,9.571428571428571
3.0,1.0,9.857142857142856
3.0,1.0,10.142857142857142
3.0,1.0,10.428571428571429
3.0,1.0,10.714285714285714
3.0,1.0,11.0
3.0,1.0,11.285714285714285
3.0,1.0,11.571428571428571
3.0,1.0,11.857142857142856
3.0,1.0,12.142857142857142
3.0,1.0,12.428571428571427
3.0,1.0,12.714285714285714
3.0,1.0,13.0
3.0,1.0,13.285714285714285
3.0,1.0,13.571428571428571
3.0,1.0,13.857142857142856
3.0,1.0,14.142857142857142
3.0,1.0,14.428571428571427
3.0,1.0,14.714285714285714
3.0,1.0,15.0
4.0,1.0,6.142857142857142
4.0,1.0,6.428571428571428
4.0,1.0,6.7142857142857135
4.0,1.0,7.0
4.0,1.0,7.285714285714286
4.0,1.0,7.571428571428571
4.0,1.0,7.857142857142857
4.0,1.0,8.142857142857142
4.0,1.0,8.428571428571427
4.0,1.0,8.714285714285714
4.0,1.0,9.0
4.0,1.0,9.285714285714285
4.0,1.0,9.571428571428571
4.0,1.0,9.857142857142856
4.0,1.0,10.142857142857142
4.0,1.0,10.428571428571429
4.0,1.0,10.714285714285714
4.0,1.0,11.0
4.0,1.0,11.285714285714285
4.0,1.0,11.571428571428571
4.0,1.0,11.857142857142856
4.0,1.0,12.142857142857142
4.0,1.0,12.428571428571427
